customer_id,age,gender,location,income_level,signup_date,loyalty_program,preferred_channel
C00001,58,M,North Judithbury,low,2022-09-20,1,Online
C00002,32,M,Lake Curtis,medium,2020-12-12,0,Both
C00003,45,M,New Roberttown,low,2023-02-24,0,Online
C00004,50,Other,East William,low,2020-05-25,0,Both
C00005,59,Other,Lake Debra,medium,2020-02-11,0,Offline
C00006,55,F,Robinsonshire,high,2022-04-26,0,Online
C00007,62,F,Port Lindachester,low,2021-03-08,0,Online
C00008,66,F,Ericmouth,low,2021-06-12,1,Online
C00009,40,F,South Colinstad,medium,2020-06-07,0,Both
C00010,47,Other,Lindsaymouth,low,2022-07-26,1,Online
C00011,53,F,South Christianport,high,2022-04-13,1,Both
C00012,30,Other,Barbaraland,low,2023-07-12,0,Offline
C00013,23,M,Port Keith,high,2020-03-12,1,Offline
C00014,47,Other,Port Craig,high,2020-05-03,0,Offline
C00015,40,M,Reidstad,medium,2021-03-07,0,Both
C00016,58,M,Michaelview,medium,2020-09-09,0,Online
C00017,47,F,New Cynthiaside,low,2022-12-26,0,Both
C00018,38,M,East Steven,low,2023-02-06,0,Offline
C00019,43,F,Lake Mark,low,2021-02-23,1,Online
C00020,59,F,East Lydiamouth,low,2023-04-08,1,Online
C00021,34,M,Carlshire,low,2021-09-15,1,Both
C00022,55,F,Jasonfort,high,2023-09-23,1,Offline
C00023,32,M,Thomasberg,medium,2021-09-06,0,Online
C00024,25,M,Juliechester,medium,2021-01-18,1,Both
C00025,22,F,Coxberg,low,2023-10-26,1,Both
C00026,34,Other,Daviston,high,2022-03-02,0,Both
C00027,64,M,East Courtneychester,medium,2023-08-30,1,Both
C00028,39,M,South Patrickmouth,low,2022-07-15,0,Offline
C00029,18,Other,Tashatown,high,2022-04-01,1,Both
C00030,66,M,Lake Nicoleview,medium,2022-11-22,0,Both
C00031,37,Other,Danielchester,medium,2023-04-08,0,Online
C00032,41,M,Smithview,medium,2020-09-02,0,Both
C00033,38,F,New Rita,low,2022-02-16,1,Offline
C00034,33,M,Meaganhaven,low,2023-09-14,0,Online
C00035,64,F,East Nathaniel,high,2022-08-04,0,Online
C00036,60,F,New Mariotown,high,2020-09-07,0,Offline
C00037,51,Other,Natashaport,medium,2020-06-22,0,Both
C00038,66,Other,East Natalieland,medium,2021-01-06,1,Offline
C00039,60,Other,Cabreraside,low,2020-05-13,1,Online
C00040,33,M,East Donna,low,2023-04-04,0,Both
C00041,53,M,West Allison,medium,2022-05-04,0,Online
C00042,63,Other,Brandtside,low,2022-07-31,0,Online
C00043,39,M,Lake Larry,medium,2023-03-19,1,Both
C00044,49,M,Samuelhaven,medium,2022-11-09,1,Online
C00045,68,F,East Jeffreymouth,high,2021-12-02,0,Online
C00046,24,Other,New Jeffrey,medium,2020-02-02,1,Offline
C00047,47,Other,East Carloston,low,2020-04-20,0,Online
C00048,43,Other,Chadbury,low,2023-08-28,0,Online
C00049,30,M,Lewisberg,medium,2021-03-08,0,Offline
C00050,29,F,Sanchezfort,medium,2023-01-28,0,Offline
C00051,69,Other,Leeville,low,2023-06-08,0,Online
C00052,66,M,Gomezchester,low,2022-10-20,1,Offline
