transaction_id,customer_id,transaction_date,product_category,brand_type,payment_method,quantity,price_per_unit,discount_applied,total_amount
T0000001,C01782,2022-10-04,Chair,private,UPI/Wallet,1,1500,0,1500.0
T0000002,C00258,2023-01-24,Snacks,private,Cash,1,50,0,50.0
T0000003,C00873,2022-05-28,Chair,private,Cash,2,1500,1,2700.0
T0000004,C00510,2022-11-28,Toothpaste,private,UPI/Wallet,1,80,0,80.0
T0000005,C01601,2024-01-02,Chair,private,Card,15,1500,1,20250.0
T0000006,C00904,2023-07-15,C-Type Cable,third_party,Cash,2,300,1,540.0
T0000007,C00782,2024-02-01,C-Type Cable,third_party,Card,3,300,0,900.0
T0000008,C00360,2024-08-20,Toothpaste,third_party,Card,1,80,1,80.0
T0000009,C00985,2023-11-10,Snacks,private,Cash,2,50,0,100.0
T0000010,C00009,2024-04-02,Rice,third_party,Card,2,60,1,120.0
T0000011,C00852,2023-03-26,C-Type Cable,third_party,Card,1,300,1,300.0
T0000012,C01205,2024-08-13,Snacks,third_party,Cash,1,50,1,50.0
T0000013,C00333,2023-07-09,Soap,third_party,UPI/Wallet,15,40,1,600.0
T0000014,C01001,2024-02-24,Oil,third_party,Card,2,200,0,400.0
T0000015,C00071,2024-01-31,Oil,third_party,UPI/Wallet,2,200,0,400.0
T0000016,C00933,2023-12-04,Shampoo,private,UPI/Wallet,2,120,0,216.0
T0000017,C01579,2023-05-03,Snacks,third_party,Card,10,50,0,500.0
T0000018,C00387,2023-10-09,C-Type Cable,private,UPI/Wallet,1,300,1,300.0
T0000019,C01092,2022-12-21,C-Type Cable,third_party,UPI/Wallet,2,300,0,540.0
T0000020,C01173,2023-10-12,Oil,third_party,Cash,1,200,1,200.0
T0000021,C00014,2020-06-02,Shampoo,third_party,Cash,1,120,1,120.0
T0000022,C01341,2024-08-01,Toothpaste,third_party,Card,1,80,0,80.0
T0000023,C00406,2022-08-18,Chair,private,Card,10,1500,0,13500.0
T0000024,C00121,2021-03-09,Shampoo,third_party,Card,1,120,1,120.0
T0000025,C01279,2024-03-11,Snacks,third_party,Card,1,50,0,50.0
T0000026,C00567,2024-03-20,Snacks,private,Card,1,50,1,50.0
T0000027,C00207,2023-11-01,Rice,private,Cash,3,60,0,162.0
T0000028,C01070,2021-07-25,Rice,third_party,Card,1,60,1,60.0
T0000029,C00691,2022-05-01,Earphones,third_party,Card,1,600,1,600.0
T0000030,C01928,2020-12-14,Oil,third_party,Cash,1,200,1,200.0
T0000031,C01652,2024-03-08,Snacks,private,Card,5,50,0,225.0
T0000032,C00252,2023-12-14,Laptop Case,private,Cash,2,800,1,1600.0
T0000033,C01406,2023-02-20,Chair,third_party,Cash,2,1500,1,2700.0
T0000034,C00738,2024-02-08,Rice,third_party,UPI/Wallet,2,60,1,120.0
T0000035,C00993,2024-02-15,C-Type Cable,third_party,Card,3,300,1,900.0
T0000036,C01929,2023-01-27,Chair,third_party,Cash,5,1500,1,7500.0
T0000037,C00400,2024-01-31,Shampoo,third_party,UPI/Wallet,5,120,0,540.0
T0000038,C01632,2020-09-21,Snacks,private,UPI/Wallet,2,50,1,90.0
T0000039,C00914,2024-08-05,Snacks,third_party,Cash,1,50,0,45.0
T0000040,C01934,2024-08-14,Snacks,private,Cash,15,50,0,750.0
T0000041,C00669,2023-08-11,C-Type Cable,third_party,Card,1,300,1,300.0
T0000042,C01374,2024-04-15,Snacks,third_party,UPI/Wallet,10,50,1,450.0
T0000043,C01417,2024-03-06,Oil,third_party,UPI/Wallet,10,200,0,2000.0
T0000044,C00773,2024-08-19,C-Type Cable,third_party,Card,3,300,0,900.0
T0000045,C00237,2024-08-09,Toothpaste,private,UPI/Wallet,1,80,0,80.0
T0000046,C00238,2022-10-09,Earphones,third_party,Card,5,600,0,3000.0
T0000047,C01209,2024-05-16,Laptop Case,private,Card,1,800,1,800.0
T0000048,C01634,2024-06-05,Shampoo,third_party,Cash,2,120,0,240.0
T0000049,C01103,2022-09-07,Chair,private,Card,3,1500,0,4500.0
T0000050,C00934,2023-07-06,Shampoo,third_party,UPI/Wallet,1,120,0,120.0
T0000051,C00633,2021-06-25,Laptop Case,third_party,UPI/Wallet,1,800,1,800.0
T0000052,C00442,2022-06-28,Chair,private,Cash,15,1500,1,20250.0
T0000053,C01468,2024-04-15,Soap,third_party,Cash,10,40,0,400.0
T0000054,C01590,2023-03-29,Shampoo,third_party,Card,2,120,0,240.0
T0000055,C01123,2023-01-11,C-Type Cable,private,Card,2,300,1,600.0
T0000056,C01082,2023-08-20,Toothpaste,private,UPI/Wallet,10,80,1,720.0
T0000057,C00663,2023-10-06,Earphones,third_party,UPI/Wallet,1,600,1,600.0
T0000058,C00336,2022-12-08,Earphones,private,Card,2,600,0,1200.0
T0000059,C01648,2024-04-06,Soap,third_party,UPI/Wallet,1,40,0,40.0
T0000060,C01759,2024-02-17,Shampoo,third_party,UPI/Wallet,15,120,0,1800.0
T0000061,C00197,2024-06-23,Oil,third_party,Cash,1,200,0,200.0
T0000062,C01332,2023-11-02,Oil,third_party,UPI/Wallet,15,200,1,3000.0
T0000063,C00244,2024-02-24,Soap,third_party,UPI/Wallet,1,40,0,40.0
T0000064,C00769,2022-05-16,Snacks,third_party,UPI/Wallet,5,50,1,250.0
T0000065,C01338,2024-03-29,Chair,third_party,Cash,1,1500,0,1500.0
T0000066,C01370,2022-04-27,Laptop Case,private,UPI/Wallet,1,800,1,800.0
T0000067,C01527,2024-05-05,Snacks,third_party,Card,1,50,1,50.0
T0000068,C00257,2023-10-02,Snacks,private,UPI/Wallet,2,50,0,100.0
T0000069,C01436,2023-10-08,Rice,third_party,UPI/Wallet,3,60,1,162.0
T0000070,C01715,2023-07-28,Earphones,third_party,UPI/Wallet,3,600,0,1800.0
T0000071,C00425,2023-10-08,Snacks,private,Cash,1,50,0,50.0
